polygon_id,desc_terrain,favor_influences,detr_influences,pct_improved,desirability,occupation,fam_income,pct_foreign,predom_eth,black,pct_black,infiltration,relief_fam,pop_inc,pop_dec,pop_static,predom_build_pct,other1_pct,other2_pct,predom_build_type,other1_type,other2_type,predom_build_constr,other1_constr,other2_constr,predom_build_age,other1_age,other2_age,predom_build_repair,other1_repair,other2_repair,predom_build_pctocc,other1_pctocc,other2_pctocc,predom_build_pctown,other1_pctown,other2_pctown,predom_build_constrpastyr,other1_constrpastyr,other2_constrpastyr,predom_build_1929price,other1_1929price,other2_1929price,price2,predom_build_price2,predom_build_price2pct,other1_price2,other1_price2pct,other2_price2,other2_price2pct,price3,predom_build_price3,predom_build_price3pct,other1_price3,other1_price3pct,other2_price3,other2_price3pct,predom_build_salesdemandlim,other1_demandlim,other2_demandlim,predom_build_salesact,other1_salesact,other2_salesact,predom_build_1929rent,other1_1929rent,other2_1929rent,rent2,predom_build_rent2,predom_build_rent2pct,other1_rent2,other1_rent2pct,other2_rent2,other2_rent2pct,rent3,predom_build_rent3,predom_build_rent3pct,other1_rent3,other1_rent3pct,other2_rent3,other2_rent3pct,predom_build_rentdemandlim,other1_rentdemandlim,other2_rentdemandlim,predom_build_rentact,other1_rentact,other2_rentact,homebuy,homebuild,notes,name,sec_grade,area_num
2725,Flat,New 8th Avenue subway. Proposed highway to be built along Flushing Avenue at Naval Hostpital to connect downtown Brooklyn with Queens at Meeker Avenue Bridge over Newtown Creek.,"Docks-warehouses-industrial encroachment. Wallabout Market. Elevated structures, Broadway and Myrtle Aves.","90, Res. 75%",static,"Unskilled labor-mechanics, merchants",1000-2000,50,Jews (S.W.) Polish (N.W.),South 10,,Italian,Many,,,Yes,20,10,5,3-4 family 3-6 rms.,2-family 4-6 rms.,1 family 6-10 rms.,frame-some brick,frame-some brick,frame-some brick,50,45,50,Poor,Poor,Poor,95,90,85,40,60,60,None,None,None,"6000-12,000","6000-12,000",3500-9000,1935,"3000- 5,000",44,"3000-5,000",44,1500-3000,36,1938,"3000-5,000",44,"3000-5,000",44,1500-3000,36,Poor,Poor,Poor,Poor,"""","""",Unheated 16-25,Unheated 20-30,45-70,1934,12-22,83,15-25,80,30-50,70,1938,12-22,83,15-25,80,30-50,70,Fair,Fair,Fair,"""","""","""",Limited,Limited,"65% frame and brick, 6-8 family, cold water tenements 40-60 years old renting $5-$9 per room. Some 12-20 family 5 story walk up 25-30 years old 3-5 rooms renting $4-$5 per room. P.W.A. slum clearance project completed E. of Leonard Street.",Williamsburg-Brooklyn,D,2
2727,Flat,New high school. McCarron Park and swimming pool.,"Congestion. Old houses obsolete. Docks, freight yards, warehouses and manufacturing.","90, Res. 80%",static,"Unskilled labor, Mechanics, merchants",200-2000,45,"Polish, Irish, some Italian",No,,"Polish, Irish",Many,,,Yes,20,10,5,"3-4 family, 4-6 rms.","2-family, 5-6 rms.","1-family, 6-8 rms.","Frame, brick",frame-brick,frame-brick,40,40,45,Fair,Fair,Fair,90,95,90,60,60,60,None,None,None,"6000-10,000",5000-9000,"5,5---8000",1935,"4000-7,500",72,"3,500-6,500",71,"3,00-5500",63,1938,"4000-7,500",72,"3,500-6,500",71,"3,000-5500",63,Poor,Poor,Poor,"""","""","""",Unheated 23-35,Unheated 32-38,35-50,1934,15-25,69,18-27,64,25-45,82,1938,17-27,76,20-30,71,25-45,82,fair-good,fair-good,fair-good,fair,fair ,fair,Limited,Limited,"65% old frame and brick, cold water, tenements some with stores 4-6 rooms renting $5-$7 per room. Heterogeneous properties and mixed population types.",Greenpoint-Brooklyn,D,1
2728,Flat,New 8th Ave. subway. New high school. McCarron Park and swimming pool.,Old type properties.,"95, Res. 90%",Static,"Labor, clerks, business men, some executives",1500-5000,30,Polish - Irish,No,,Polish,Very few,,,Yes,15,15,10,2-family 5-6 rms,3-4 famliy 5-6 rms,1 family 6-8 rms,Frame-brick,Frame-brick,Frame-brick,40,35,40,Fair to good,Fair to good,Fair to good,95,95,90,65,65,75,None,None,None,6000-9000,"8000-14,000","6500-10,000",1935,4000-6500,70,"4500- 8,000",57,"4000- 7,000",67,1938,4000-6500,70,"5000- 8,500",61,"4000- 7,000",67,Poor,Poor,Poor,Poor,Poor,Poor,35 - 38*,32 - 55*,50 - 75,1934,27 - 30*,78,22 - 40*,71,35 - 60,76,1938,30 - 35*,89,25 - 45*,80,35 - 60,76,Good,Good,Fair,Good,Good,Fair,Limited,Limited,"*Not heated (20% more if heated). 60% brick and frame 3-4 story walkup apartments average 40 yrs. old, 4-6 rms. renting $5-8 per room. People are frugal, home loving type. Fewer than average foreclosures.","Greenpoint, Brooklyn",C-,1
2729,Steep hill down from Highland Blvd. to Sunnyside and Jamaica Aves. at foot,Highland Park. View of city. Well kept homes and gardens,Steep grade. Transportation at foot of hill. Traffic on Highland Blvd.,"90, Res. 85%",Static,Business executives and professionals,"3000-12,000",20,British- Irish- German,No,,No,No,,,Yes,45,30,10,1 family 6-11 rms,2-family 5-7 rms,3-4 family 3-5 rms,Brick-frame,Brick-stucco-frame,Brick,20-25,20-25,20,Good,Good,Good,95,95,95,85,80,65,Est. 5,None,None,"12,000-40,000","10,000-18,000","14,000-18,000",1935,"6000-20,000",50,"7,000-10,500",63,"8,000-10,000",56,1938,"6000-20,000",50,"7,000-10,500",63,"8,500-10,500",59,Poor,Poor,Poor,Poor,Poor,Poor,60 - 125,55 - 90,35 - 65,1934,40 - 75,62,40 - 60,69,25 -  45,70,1938,50 - 100,81,45 - 75,83,30 - 55,85,Fair,Good,Good,Fair,Good,Good,Ample,Ample,15% brick apartments 3-6 rms. renting $10-14 per room. Several old singles on large plots well kept. Streets off Jamaica Ave. are dead end and houses are neat substantial row brick construction. Larger detached homes atop hill adjacent Highland Park which has been recently improved and beautified. Shopping and neighborhood stores on Jamaica Ave.,"Highland Park, Brookyn",B,2
2730,Flat,Pride of home ownership. Near Highland Park. Good transportation.,Cemeteries to the north. Mixed types of people and property. Long Island R.R. tracks to the southeast.,"95, Res. 90%",Static,"Clerks - merchants, business men, some professional",3000-7500,30,"Irish, German - British",No,,"Irish, some Ital.",Few,,,Yes,55,20,10,2-family 5-6 rms,1 family 6-10 rms,3-4 family 3-5 rms,Brick and frame,Brick and frame,Brick  ,30,35- 40,25,Good,Good,Good,95,95,95,75,80,60,None,Est. 10,None,"10,000-25,000","8000-20,000","14,000-22,000",1935,"6,000-15,000",60,"4000-10,000",50,"9,000-12,000",58,1938,"6,000-15,000",60,"4000-10,000",50,"9,000-12,000",58,Fair,Fair,Fair,Poor Heated,Poor  ,Poor,50 - 75,60 - 100,40 - 65,1934,35 - 50,68,40 - 60,63,30 - 45,71,1938,40 - 60,80,50 - 75,78,35 - 55,86,Good,Fair,Good,Fair,Fair,Fair,Limited,Limited,15% apartments - 4 story walkups renting $10-15 per room. Largely an area of row type brick homes substantially built. Frame houses generally are old singles but well kept.,"Arlington, Brooklyn",C,7
2731,Flat,Good transportation. Possible future development.,Outlying. Traffic on Sunrise Highway. Poor neighborhoods adjacent. Long Island R.R. tracks to the north.,"85, Res. 80%",Static,Skilled labor -clerks,1800-3000,30,German - Italian,No,,Italian,Few,,,Yes,50,30,5,2-family 5-6 rms,1 family 6-8 rms,3-4 family 4-6 rm,Brick & frame,Brick & frame,Brick & frame,20,20,20,Fair,Fair,Fair,95,90,95,65,65,40,None,None,None,6000-9500,5000-8000,"9000-14,000",1935,4000-6000,65,3000-4500,58,"6000- 8,000",61,1938,4000-6000,65,3000-4500,58,"6000- 8,000",61,Poor,Poor,Poor,Poor,Poor,Poor,35 - 55,35 - 45,35 - 50,1934,25 - 35,67,25 - 30,69,25 - 35,71,1938,30 - 45,83,30 - 35,81,30 - 40,82,Fair,Fair,Fair,Fair,Fair,Fair,Limited,Limited,"15% brick apartments 6-8 family, 4-6 rms renting $7-9 per rm. Newer buildings to the south. Older but sound construction to the north.","East New York, Brooklyn",C-,8
2732,Flat,New apartment construction toward the south.,Row brick construction. Lack of pride of home ownership. Lower grade areas adjacent. Vacant low ground to the south.,"95, Res. 90%",Down,"Merchants, laborers, small business men",1200-3000,40,Jewish - Polish,No,,Jewish,Few,,,Yes,30,20,15,2-family 5-6 rms,1 family 5-7 rms,3-4 family 3-5 rms,"Brick, some frame",Frame-brick,90% brick,20,30,20,Fair,Fair,Fair,95,90,90,60,60,60,None,None,None,"6000-12,000",5000-9000,"9000-15,000",1935,"4000- 7,500",64,3000-7000,71,"6000- 9,000",63,1935,"4000- 7,500",64,3000-7000,71,"6000- 9,000",63,Poor,Poor,Poor,Poor,Poor,Poor,50 - 65,50 - 75,35 - 55,1934,30 - 40,61,30 - 45,60,25 - 40,72,1938,35 - 45,70,35 - 50,68,30 - 45,83,Good,Fair,Good,Fair,Fair,Fair,Limited,Limited,35% apartments semi-modern brick 3-5 rms renting $7-10 per room. Some modern apartment construction adjoining Linden Blvd. to the south.,East New York - Brooklyn,C-,16
2733,Flat,"Possible new construction. Somewhat better area in Ozone Park, Queens, adjoining on the east. ",Makeshift construction of many houses. Unpaved streets. Lack of convenient transportation. Sparsely settled. ,30 Res. 25%,Slow up,Laborers,800-1500,60,Italian-Jewish,No,,Italian,Many,Yes,,,50,40,10,2-family 5-6 rms,1 family 5-7 rms,3-4 family 3-5 rms,Frame - stucco,Frame - stucco,Frame-stucco-brick,20,20,20,Poor,Poor to fair,Poor,90,85,90,60,70,50,None,Est. 20,None,5000-8000,4000-7000,6000-9500,1935,2500-4500,54,2000-4000,55,3500-5000,55,1938,2500-4500,54,2000-4000,55,3500-5000,55,Poor,Poor,Poor,Poor,Poor,Poor,Unheated 20-30,25-40,20-40,1934,15-25,80,15-25,62,12-28,67,1938,17-28,90,20-30,76,15-30,75,Fair,Fair,Fair,Fair,Fair,Fair,Limited,Limited,"New largely undeveloped, this area may improve due to the possibility of new building construction. Existing buildings of poor construction and many are nondescript makeshift houses. ","New Lots, Brooklyn",D,12
2734,Flat,All city facilities,Congestion West of Pensylvania Avenue where multiple dwellings predominate. Elevated structures Atlantic Avenue - Pitkin Avenue. Railroad and industry to the East. Lack of pride. Mixture of races. ,90 Res. 80%,static,Merchants-laborers clerks,1500-3000,40,"Jews, Italians, Polish",Few,,Jews-Italian,Many,,,Yes,35,35,20,2 family 5-6 rms. ,3-4 family 3-5 rms. ,1 family 5-7 rms. ,brick-frame,brick-some frame,frame-brick,25,25,25,poor-fair,poor-fair,poor-fair,90,90,90,55,35,55,None,None,None,"5000-12,000","6000-15,000",5000-9000,1935,"2500-7,500",59,"2500-9,000",55,2500-6000,61,1938,"2500-7,500",59,"2500-9,000",55,2500-6000,61,Poor,Poor,Poor,"""","""","""",40-60,25-40,25-60,1934,25-40,65,20-30,77,18-40,68,1938,25-45,70,20-35,85,20-45,76,Poor-fair,Poor-fair,Poor-fair,Poor,Poor,Poor,Limited,Limited,"10% ""old law"" and semi-modern brick apartments, 3-5 room units renting $7-$10 per room. Neighborhood shopping on the Avenues. Congestion greater in the west. Some vacant land in East and Southeast near the Queens boundary line. Linden Blvd. a main thoroughfare. ",East New York - Brooklyn,D,11
2735,Low and flat,Contemplated public improvements along shore front. Near beaches. ,Dumps. Sparsely settled surrounding areas. Mixed types of property and people. Poor transportation. Unimproved streets. Low ground. ,40 Res 35,Static,"Laborers, mechanics",1000-1500,60,Italian-Jewish,Few,,Italian,Many,,,Yes,45,40,15,1 family 5-7 rms,2-family 4-6 rms,3-4 family 4-6 rms,Frame-some brick,Frame & brick,Brick & frame,18,15,15,Poor to fair,Poor to fair,Poor to fair,90,90,90,60,50,40,None,None,None,5000-8500,6000-9000,"7500-11,000",1935,2500-4500,52,4000-7000,73,4500-6500,59,1938,2500-4500,52,4500-7000,77,4500-6500,59,Poor,Poor,Poor,Poor,Poor,Poor,40-55,35-50,30-50,1934,20-35,58,25-40,76,20-30,63,1938,25-40,68,30-45,88,25-40,81,Good,Good,Fiar to good,Good,Good,Fair,Limited,None,An outlying area of poor grade population. Makeshift construction scattered throughout the section. A few modern and substantial buildings. Neighborhood shopping on Flatlands Ave. and Ave. L. Practically surrounded by vacant land - dumps and swamps except on the north. ,"Canarsio, Brooklyn",D,17
3252,level,"Adjoining beautiful park. Only ""A"" section in western part of city. Near schools.",rock very near surface,15,upward,business and professional,2500 to 3500,0,,0,,desirable,none,slightly,-,-,98,,,singles,,,frame,,,8,,,very good,,,100,,,95,,,6,,,"7000 - 10,000",,,1936,5500 - 7000,74,,,,,1937,5500 to 7000,74,,,,,6500,,,Fair,,,55 to 75,,,1936,40 to 60,77,,,,,1937,45 to 65,85,,,,,50,,,light,,,ample,ample,"Desirable class ""A"" area. Laid out by attorneys and others not acquainted with development and underfinanced. Resulting in Receivership. Now owned by B & Loan Association. Will probably continue to be slow until active promotion takes place. Will probably show increase in values in the future. West end has.","Harshman Addition. Large, old and substantial Germain element which prefers the west section of city and this tract afford the only opportunity for development in the western portion of the city.",A,4
3254,level,transportation; schools; walking distance to good industrial district.,nominal,98,static,Junior executives and skilled mechanics,1200 to 2250,0,,0,,desirable,0,-,-,✓,95,,,singles,,,frame,,,10,,,good,,,100,,,95,,,-,,,5000 to 7500,,,1936,4000 to 5000,72,,,,,1937,4000 to 5000,72,,,,,4500,,,fair,,,40 to 50,,,1936,30 to 40,78,,,,,1937,30 to 45,84,,,,,35,,,light,,,ample,ample,Largely developed about 12 years ago. Quickly built up; fair to poor construction; uniform type.,-,B,8
3255,,"transportation, near school",Area lies on extreme south-west,50,static,shopmen,1000 to 1800,-,,0,0,fairly desirable,several,slightly,-,-,98,,,singles,,,frame,,,20,,,fair,,,99,,,75,,,4,,,1500 to 4500,,,1936,1000 to 3500,75,,,,,1937,1000 to 3500,75,,,,,2000,light,,,,,15 to 30,,,1936,12 to 22.50,77,,,,,1937,12 to 25,82,,,,,18,,,good,,,limited,limited,Outlying district. Laid out poorly; cheap construction. Activity is light.,Melrose & Sunnyland,C,11
3256,level - high elevation,good streets; excellent schools; well restricted. Free from encroachments.,none,90,upward,Professional and Business,2500 to 6000,0,,0,,desirable,0,moderately,-,-,95,,,singles,,,frame & brick,,,8,,,good,,,100,,,95,,,5,,,7500 to 10500,,,1936,5500 to 7500,72,,,,,1937,5500 to 7500,72,,,,,7000,,,good,,,50 to 75,,,1936,40 to 55,75,,,,,1937,45 to 65,88,,,,,60,,,light,,,ample,ample,"Well laid out and improved; quickly developed; well promoted; it is the only ""A"" district in the South end of town. Free from encroachment.",Perrin Woods,A,7
3259,Level,,none,30,upward,Junior Executives and skilled laborers,,0,,0,,desirable,none,moderately,,,98,,,singles,,,frame,,,8,,,very good,,,100,,,95,,,5,,,6500 to 8500,,,1936,5000 to 6000,73,,,,,1937,5000 to 6000,73,,,,,5500,,,fair to good,,,55 to 60,,,1936,40 to 45,73,,,,,1937,45 to 50,83,,,,,40,,,light,,,ample,ample,Adjoining the best old district of the city which is still highly desirable.,Clairmont Add,A,6
3260,level,"streets; transportation; proximity to good industrial district; schools, shopping district.",nominal,95,slightly downward,"business, professional & Jr. Executives & mechanics",2000 t0 3500,0,,0,,desirable,0,-,-,✓,95,,,singles,,,frame,,,20,,,good,,,100,,,90,,,3,,,4500 to 6500,,,1936,3000 to 5000,73,,,,,1937,3000 to 5000,73,,,,,4750,,,fair to good,,,30 to 45,,,1936,25 to 35,80,,,,,1937,25 to 40,87,,,,,35,,,light,,,ample,ample,Safe from deterring influence. Pride of ownership is evident.,-,B,5
3261,level,streets; school,Adjoins industry on North,85,slightly upward,Skilled mechanics,1200 to 2400,0,,0,,desirable,"very few, if any",-,-,✓,98,,,singles,,,frame,,,18,,,good,,,99,,,75,,,4,,,4000 to 6500,,,1936,3200 to 4500,73,,,,,1937,3200 to 4500,73,,,,,4000,,,very good,,,40 to 50,,,1936,32.50 to 42.50,83,,,,,1937,35 to 45,88,,,,,35,,,good,,,fairly ample,fairly ample,A newer section; developed since the World War. Clean neighborhood. Desirability will probably continue.,Warder Park Add,C,6
3262,Level,Good improvements; well restricted; good transportation close to schools.,None,40,definitely upward,business & professional,2500 to 3500,0,,0,,desirable,none,yes,-,-,98,,,singles,,,frame,,,8,,,very good,,,100,,,95,,,4,,,"7500 to 10,000",,,1936,6000 to 7000,74,,,,,1937,6000 to 7000,74,,,,,6500,,,good,,,50 to 70,,,1936,40 to 50,75,,,,,1937,40 to 60,83,,,,,50,,,light,,,ample,ample,"well laid out; promoted soundly; uniform buildings; Pride of ownership highly evident; free from detrimental influences, will remain good.",Roseland,A,5
3263,level,streets; transportation; churches and schools.,nominal,90,static,Professional and business men,3000 to 100000,0,,0,,desirable,none,-,-,✓,80,20,,singles,doubles,,frame,frame,,40,40,,good,good,,99,99,,80,70,,-,-,,5500 to 12000,7000 to 12000,,1936,4500 to 8500,74,,,,,1937,4500 to 8500,74,6000 to 10000,,,,7000,8000,,good,fair,,50 to 90,45 to 60,,1936,40 to 75,82,,,,,1937,40 to 80,87,35 to 50,,,,55,45,,good,good,,ample,ample,"Some very fine and high priced homes in north-west portion of area. Slightly cheaper homes in north-east section. Pride of ownership is highly evident. None: the red area (D-6) adjoining this section is mostly comprised of Negro domestics who were employed by residents living to the west in B-6 and residents of High Street. Generally, the better type of colored people reside in D-6.",,B,6
3264,level,streets; transportation; schools and churches,near colored section,99,static,small business men and skilled mechanics,1500 to 4000,-,,-,-,desirable,nominal,-,-,✓,90,,,singles,,,frame,,,25,,,good,,,99,,,85,,,-,,,5000 to 7500,,,1936,4000 to 6000,80,,,,,1937,4000 to 6000,80,,,,,5000,,,Good,,,35 to 50,,,1936,30 to 40,83,,,,,1937,30 to 40,88,,,,,30,,,light,,,fairly ample,fairly ample,Completely built up. Very good class of residents; high home ownership ratio. Property values remain static. American community. Near small shops.,,C,9
3265,level.,streets; transportation; school; uniform development,nominal,99,slightly downward,professional and business men,2000 to 5000,0,,0,,desirable,0,-,-,✓,95,,,singles,,,frame,,,20 years,,,good,,,100,,,95,,,-,,,5000 to 8500,,,1936,4000 to 6500,77,,,,,1937,4000 to 6500,77,,,,,5500,,,good,,,40 to 60,,,1936,30 to 45,75,,,,,1937,35 to 55,90,,,,,45,,,light,,,ample,ample,"From free encroachment of industry and deterring influence; uniform property; high degree of ownership, pride manifested.",Highlands,B,9
3269,level to rolling,transportation,unpaved street; area lies in extreme south-east end of city.,35,slightly upward,white collared and shopmen,1000 to 2500,1,,-,-,fairly desirable nominal,nominal,slightly,-,-,95,,,singles,,,frame,,,30,,,fair,,,99,,,75,,,8,,,3000 to 5500,,,1936,2000 to 4500,76,,,,,1937,2000 to 4500,76,,,,,3500,,,fair,,,25 to 40,,,1936,17.50 to 32.50,77,,,,,1937,20 to 35,85,,,,,30,,,good,,,fairly ample,fairly ample,Fairly good neighborhood for factory workers. Trend of desirability is slightly upward.,,C,10
3270,rolling,transportation; near schools and churches.,dead end streets,75,static,shop men,1000 to 1500,2,,,1/2,fairly desirable,few,-,-,✓,98,,,singles,,,frame,,,25,,,fair to good,,,99,,,60,,,-,,,3500 to 5500,,,1936,3000 to 4500,83,,,,,1937,3000 to 4500,83,,,,,3500,,,fair,,,30 to 40,,,1936,22.50 to 32.50,79,,,,,1937,25 to 35,86,,,,,30,,,very good,,,fairly ample,fairly ample,Within walking distance to International Harvester Company; Springfield's largest employer. A good neighborhood for the working class.,-,C,1
3272,high elevation -level-,All improvements in and paid for. Proximity of good residential district. Close to schools.,RR to the N.E.,10,upward,Junior executives,2000 to 3000,0,,0,,desirable,none,-,-,,100,,,singles,,,frame & brick,,,15,,,very good,,,100,,,90,,,0,,,$6500 to 10000,,,1936,5000 to 7000,73,,,,,1937,5000 to 7000,73,,,,,6000,,,static at present,,,50 to 70,,,1936,40 to 50,75,,,,,1937,45 to 55,83,,,,,50,,,light,,,ample,ample,This section was developed prior to 1929. Former promoter now in receivership. Possibility of B & L Company will take over area and property will be placed with reliable ownership. Favorably located between A-1 and industrial districts. Property values will very likely increase in the near future.,Cedar Add. Probably will settle down to 6000 to 6500 type home community.,A,3
3273,Description of Terrain. rolling to level; high elevation.,Favorable Influences. good streets; uniform development; close in; transportation.,nominal,90,slightly downward,business and professional,2500 to 7000,0,,0,,desirable,0,slightly,-,-,95,,,singles,,,frame,,,15,,,good,,,100,,,95,,,1,,,5000 to 12000,,,1936,4000 to 8000,70,,,,,1937,4000 to 8000,70,,,,,7000,,,fair,,,40 to 70,,,1936,35 to 55,82,,,,,1937,35 to 60,86,,,,,50,,,light,,,ample,ample,"Ten years ago this was called ""A"" district. Has reached its peak and now values static to slightly downward. Pride of ownership is still evident. Free from encroachments and deterring influences.",Glen Terrace and Ridgewood,B,2
3274,Level to rolling,Good transportation; well elevated; restricted neighborhood,None,50,Upward,Executives; professional & skilled mechanics,2000 to 12000,0,,0,,desirable,none,Yes,-,-,100,,,singles,,,frame & brick,,,12,,,good,,,99,,,85,,,30,,,"7500 to 12,000",,,1936,5500 to 8000,72,,,,,1937,6000 to 8000,72,,,,,7000,,,very good,,,40 to 100,,,1936,45 to 65,79,,,,,1937,50 to 70,86,,,,,55,,,light,,,ample,ample,This section was platted first in 1914; it remained dormant until 1928 due to having been developed by outside interests. Now being promoted by responsible realtors. Most active area for new construction in Springfield. Some 30 new homes erected here last year. Sales activity is very good.,Hills and Dales. Most of the higher priced homes have been built since 1929.,A,2
3275,Fairly level.,Highly restricted; good streets - transportation. Close to schools.,None,39,Upward,Executives and professional.,3000 - $7000,0,,0,,Desirable,None,Yes,,,100%,,,Singles,,,Frame and Brick,,,12,,,Good,,,99,,,85,,,10,,,"7000 - 18,000",,,1936,"6000 - 13,000",76,,,,,1937,"6000 - 13,000",76,,,,,"8,500",,,Fair to good,,,50 - 100,,,1936,45 - 70,77,,,,,1937,50 - 80,87,,,,,60,,,Light,,,Ample,Ample,"Pride of ownership is highly evident. Free from industry encroachments. About the best ""A"" section in city.",Ridgewood,A,1
3276,Level to rolling; high elevation,"good streets; schools; transportation is excellent. Bears influence of Wittenberg College and borders on two ""A"" areas.",nominal,90,slightly downward,business and white collared,2000 to 4000,0,,0,,desirable,0,very slightly,-,-,95,,,singles,,,frame,,,20,,,fair to good,,,100,,,90,,,2,,,5000 to 7000,,,1936,3500 to 5500,75,,,,,1937,3500 to 5500,75,,,,,5000,,,good,,,35 to 55,,,1936,27.50 to 45,80,,,,,1937,30 to 50,89,,,,,40,,,light,,,ample,ample,"Clean neighborhood; pride of ownership; near Wittenberg College and Ohio State Pythian Home; borders on ""A"" district and fairly close in",-,B,1
3277,level to slightly rolling,transportation; paved streets; near Wittenberg College,Adjoins Colored Area on South,95,downward,small business and shopmen,1200 to 2400,0,,,1/2,fairly desirable,light,-,-,✓,90,,,singles,,,frame,,,35,,,fair,,,99,,,75,,,-,,,3500 to 7000,,,1936,3000 to 5000,76,,,,,1937,3000 to 5000,76,,,,,3500,,,poor to fair,,,30 to 45,,,1936,22.50 to 35,77,,,,,1937,25 to 40,86,,,,,30,,,good,,,somewhat limited,somewhat limited,Fairly good neighborhood for shop men. Little demand here. Trend is downward.,,C,3
3279,level,transportation; streets; near school,nominal,95,slightly downward,tradesmen and mechanics,1500 to 3000,0,,0,,desirable,none,-,-,✓,95,,,singles,,,frame,,,20,,,fair to good,,,100,,,90,,,-,,,4000 to 6500,,,1936,3000 to 4500,72,,,,,1937,3000 to 4500,72,,,,,4000,,,fair,,,30 to 45,,,1936,25 to 35,80,,,,,1937,25 to 40,87,,,,,30,,,light,,,ample,ample,Pride of ownership is manifested; close proximity of city park; good streets. Walking distance to good industry.,-,B,4
3280,level,transportation; streets; churches and schools.,"old, little demand",99,static,white collared and skilled mechanics,1200 to 3000,3,,,1/2,fairly desirable,,-,-,✓,90,,,singles,,,frame,,,40,,,fair to good,,,99,,,80,,,0,,,4000 to 7000,,,1936,3000 to 6000,77,,,,,1937,3000 to 6000,77,,,,,4000,,,slow,,,35 to 45,,,1936,27.50 to 35,78,,,,,1937,30 to 40,88,,,,,30,,,good,,,fair to good,fair to good,This is an old German settlement. A substantial neighborhood. Clean yards and pride of ownership is evident. Will probably continue to hold its own. High ratio of home ownership.,,C,4
3281,level,transportation; near churches and schools.,"near RR yards; smoke, dirt and soot",99,downward,white collared and shop men,1000 to 1500,2,,,1/2,fairly desirable,few,-,-,✓,90,,,singles,,,frame,,,40,,,fair only,,,99,,,75,,,0,,,3000 to 5500,,,1936,2000 to 4500,76,,,,,1937,2000 to 4500,76,,,,,3000,,,poor,,,30 to 40,,,1936,22.50 to 25,68,,,,,1937,25 to 30,80,,,,,2500,,,Good,,,somewhat limited,somewhat limited,Near International Harvester Co. very old neighborhood. Little or no demand. Many for sale. No buyers,,C,2
3283,Level to rolling,streets; transportation; schools and churches,Old neighborhood,98,slightly downward,small business and shop men,1000 to 5000,1,,1/2,,somewhat mixed,few,-,-,✓,90,10,,singles,doubles,,frame,frame,,50,50,,fair,fair,,99,99,,75,75,,-,-,,5000 to 10000,75000 to 12000,,1936,4000 to 7500,77,,,,,1937,4000 to 75000,77,6000 to 10000,,,,5000,6500,,fair,fair,,40 to 65,45 per unit,,1936,30 to 50,76,,,,,1937,35 to 55,86,35 per unit,,,,35,35,,good,good,,fairly ample,fairly ample,Old built up section. Some good homes along High Street. Kept fairly clean. Sales activity is fair,,C,8
3284,rolling,transportation; near schools and churches.,adjoins RR on North; abuts industry site.,85,slightly upward,Clerks and factory workers,1000 to 1800,1,,0,,desirable,few,-,-,✓,95,,,singles,,,frame,,,20,,,fair to good,,,99,,,75,,,-,,,3000 to 5000,,,1936,2000 to 4000,75,,,,,1937,2000 to 4000,75,,,,,3000,,,fair,,,30 to 40,,,1936,22.50 to 32.50,79,,,,,1937,25 to 35,86,,,,,27.5,,,good,,,fairly ample,fairly ample,"A good section for factory workers and clerks, near industrial section. Walking distances to shops. Fairly clean cut community. Will probably improve slightly in desirability.",McNally Add,C,5
3285,level,transportation,near RR and traction line,70,slightly upward,foremen and skilled mechanics,1500 to 3000,0,,0,,desirable,nominal,slightly,-,-,98,,,singles,,,frame,,,12,,,good,,,99,,,85,,,5,,,4000 to 5500,,,1936,3000 to 4000,74,,,,,1937,3000 to 4000,74,,,,,4500,,,good,,,30 to 50,,,1936,22.50 to 42.50,81,,,,,1937,25 to 45,88,,,,,30,,,light,,,ample,ample,This is a fairly new residential section. Laid out good with extra large lots. Clean neighborhood. Sales activity is good.,Elmwood,B,7
3286,level to rolling,transportation; streets; churches and schools.,old and mixed properties,90,static to slightly downward,white collared and mechanics and RR men,1000 to 3000,3,,Yes,1/2,mixed,several,-,-,✓,90,,,singles,,,frame,,,40,,,fair,,,99,,,75,,,5,,,3000 to 6500,,,1936,2000 to 5000,74,,,,,1937,2000 to 5000,74,,,,,35000,,,slow,,,25 to 45,,,1936,20 to 35,79,,,,,1937,20 to 40,86,,,,,30,,,good,,,fairly ample,fairly ample,This is an old built up section with little or no changes in the past 30 years. Activity is slow. Some foreign born population and negroes reside in central portion of area. Trend is slightly downward. Near industry and down town section.,,C,7
3287,Level,College district; transportation; streets; close in.,nominal,99,static to downward,"Professional, business and skilled mechanics",2000 to 10000,0,,0,,desirable,none,-,-,✓,95,,,singles,,,frames,,,30,,,good,,,100,,,85,,,0,,,5000 to 12000,,,1936,4000 to 8500,74,,,,,1937,4000 to 8500,74,,,,,7000,,,good,,,35 to 75,,,1936,30 to 55,76,,,,,1937,35 to 60,86,,,,,45,,,light,,,ample,ample,"Good, old substantial community; pride of ownership is evident; Cultural influence of Wittenberg College and general college influence on the west one-half of Hio district from decline. Splendid transportation. Near business and downtown shopping district.",Northern Heights,B,3
